Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country) - Birthplace;Location (State, Country) - Current state and country.;Is your English proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;The International Polyglot Youth Project seeks young people from all over the world who are engaged and committed to equality and educational power. Tell us what you plan to do with the learning you will receive.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project?;What language do you plan to learn? You can choose three languages. [Brazilian Portuguese];What language do you plan to learn? You can choose three languages. [Deutsch];What language do you plan to learn? You can choose three languages. [French];What language do you plan to learn? You can choose three languages. [German];What language do you plan to learn? You can choose three languages. [Hungarian];What language do you plan to learn? You can choose three languages. [Italian];What language do you plan to learn? You can choose three languages. [Korean];What language do you plan to learn? You can choose three languages. [Modern Standard Arabic];What language do you plan to learn? You can choose three languages. [Spanish];What language do you plan to learn? You can choose three languages. [Russian];In up to 150 words, explain why you are interested in learning this/these language(s) and how it aligns with your future plans.;List ALL the days and times you would have available to learn. [06:00];List ALL the days and times you would have available to learn. [06:30];List ALL the days and times you would have available to learn. [07:00];List ALL the days and times you would have available to learn. [07:30];List ALL the days and times you would have available to learn. [08:00];List ALL the days and times you would have available to learn. [08:30];List ALL the days and times you would have available to learn. [09:00];List ALL the days and times you would have available to learn. [09:30];List ALL the days and times you would have available to learn. [10:00];List ALL the days and times you would have available to learn. [10:30];List ALL the days and times you would have available to learn. [11:00];List ALL the days and times you would have available to learn. [11:30];List ALL the days and times you would have available to learn. [12:00];List ALL the days and times you would have available to learn. [12:30];List ALL the days and times you would have available to learn. [13:00];List ALL the days and times you would have available to learn. [13:30];List ALL the days and times you would have available to learn. [14:00];List ALL the days and times you would have available to learn. [14:30];List ALL the days and times you would have available to learn. [15:00];List ALL the days and times you would have available to learn. [15:30];List ALL the days and times you would have available to learn. [16:00];List ALL the days and times you would have available to learn. [16:30];List ALL the days and times you would have available to learn. [17:00];List ALL the days and times you would have available to learn. [17:30];List ALL the days and times you would have available to learn. [18:00];List ALL the days and times you would have available to learn. [18:30];List ALL the days and times you would have available to learn. [19:00];List ALL the days and times you would have available to learn. [19:30];List ALL the days and times you would have available to learn. [20:00];List ALL the days and times you would have available to learn. [20:30];List ALL the days and times you would have available to learn. [21:00];List ALL the days and times you would have available to learn. [21:30];List ALL the days and times you would have available to learn. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to learn through weekly classes?
01/01/2022;mentee67@mail.com;mentee67;tee;01/06/2004;GMT +14;https://www.instagram.com/andreparedes06/;3678714636;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;B1;A2;;A1;A2;A1;B1;A1;A1;[Some text];['Tuesday', 'Friday', 'Thursday', 'Saturday', 'Wednesday'];['Thursday', 'Monday', 'Saturday'];['Wednesday', 'Sunday', 'Thursday', 'Friday', 'Saturday'];['Monday', 'Sunday', 'Saturday', 'Friday'];['Saturday', 'Monday', 'Sunday', 'Tuesday'];['Sunday', 'Tuesday', 'Thursday', 'Saturday'];['Saturday', 'Friday', 'Thursday'];['Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Sunday', 'Wednesday', 'Tuesday', 'Friday'];['Saturday', 'Sunday', 'Wednesday', 'Monday', 'Friday'];['Tuesday', 'Wednesday', 'Thursday', 'Friday'];['Tuesday', 'Wednesday'];['Saturday', 'Tuesday', 'Friday', 'Wednesday', 'Thursday'];['Wednesday', 'Monday', 'Saturday', 'Friday'];['Friday', 'Monday', 'Saturday', 'Wednesday'];['Thursday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday', 'Friday'];['Friday', 'Thursday', 'Wednesday', 'Saturday'];['Saturday', 'Wednesday', 'Monday', 'Thursday', 'Friday'];['Monday', 'Saturday', 'Thursday', 'Friday', 'Sunday'];['Tuesday', 'Thursday', 'Monday', 'Sunday'];['Monday', 'Tuesday', 'Saturday', 'Wednesday', 'Friday'];['Tuesday', 'Saturday', 'Wednesday', 'Friday', 'Monday'];['Friday', 'Monday', 'Wednesday', 'Sunday', 'Saturday'];['Monday', 'Wednesday', 'Saturday', 'Sunday', 'Friday', 'Tuesday'];['Sunday', 'Saturday', 'Thursday', 'Tuesday'];['Thursday', 'Tuesday', 'Saturday', 'Sunday', 'Monday'];['Friday', 'Monday', 'Saturday'];['Monday', 'Friday', 'Wednesday', 'Thursday', 'Sunday', 'Tuesday'];['Tuesday', 'Monday', 'Saturday', 'Thursday', 'Sunday'];['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday'];['Saturday', 'Tuesday', 'Sunday', 'Friday'];['Monday', 'Thursday', 'Tuesday', 'Saturday'];['Thursday', 'Sunday', 'Monday', 'Wednesday', 'Saturday'];Yes, I do;[Some text];Yes
01/01/2022;mentee68@mail.com;mentee68;tee;04/04/2008;GMT +8:45;https://www.instagram.com/andreparedes06/;8134033657;Prefer not to say;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;B2;A2;B1;B1;B2;B1;A2;B2;B2;[Some text];['Monday', 'Thursday', 'Wednesday', 'Sunday', 'Tuesday'];['Friday', 'Thursday', 'Wednesday', 'Sunday', 'Monday', 'Saturday'];['Wednesday', 'Friday', 'Saturday', 'Tuesday'];['Sunday', 'Saturday', 'Thursday', 'Monday'];['Monday', 'Sunday', 'Saturday'];['Sunday', 'Thursday', 'Wednesday', 'Friday', 'Monday'];['Wednesday', 'Friday', 'Monday', 'Sunday'];['Saturday', 'Thursday', 'Sunday', 'Friday', 'Tuesday', 'Monday'];['Thursday', 'Sunday', 'Wednesday', 'Saturday', 'Monday'];['Sunday', 'Tuesday', 'Thursday', 'Monday', 'Saturday'];['Saturday', 'Friday', 'Monday', 'Wednesday'];['Sunday', 'Friday', 'Tuesday', 'Saturday'];['Sunday', 'Thursday', 'Wednesday'];['Thursday', 'Monday', 'Sunday', 'Saturday', 'Wednesday'];['Monday', 'Friday', 'Thursday', 'Wednesday'];['Monday', 'Sunday', 'Tuesday', 'Wednesday'];['Sunday', 'Wednesday', 'Saturday', 'Thursday', 'Monday'];['Saturday', 'Thursday', 'Wednesday', 'Sunday'];['Sunday', 'Friday', 'Monday'];['Friday', 'Wednesday', 'Tuesday'];['Sunday', 'Tuesday', 'Friday', 'Monday', 'Thursday'];['Wednesday', 'Thursday', 'Sunday', 'Saturday', 'Friday'];['Friday', 'Saturday', 'Wednesday', 'Monday', 'Tuesday'];['Monday', 'Sunday', 'Saturday', 'Thursday'];['Wednesday', 'Sunday', 'Monday', 'Tuesday', 'Thursday'];['Sunday', 'Wednesday', 'Thursday', 'Friday'];['Thursday', 'Saturday', 'Wednesday', 'Tuesday'];['Saturday', 'Friday', 'Thursday', 'Wednesday', 'Sunday'];['Thursday', 'Sunday', 'Tuesday', 'Wednesday'];['Sunday', 'Tuesday', 'Thursday', 'Monday', 'Saturday'];['Friday', 'Wednesday', 'Saturday', 'Monday'];['Saturday', 'Wednesday', 'Tuesday'];['Thursday', 'Friday', 'Tuesday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee69@mail.com;mentee69;tee;14/03/1999;GMT +10:30;https://www.instagram.com/andreparedes06/;6419191926;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;A1;B1;A1;B2;B1;B1;B2;;B2;[Some text];['Sunday', 'Saturday', 'Wednesday', 'Friday', 'Thursday'];['Wednesday', 'Thursday', 'Monday', 'Tuesday'];['Sunday', 'Wednesday', 'Friday', 'Thursday'];['Monday', 'Thursday', 'Friday', 'Wednesday'];['Sunday', 'Friday', 'Saturday', 'Monday', 'Thursday'];['Monday', 'Saturday', 'Sunday', 'Thursday', 'Wednesday'];['Tuesday', 'Sunday', 'Friday', 'Wednesday', 'Monday'];['Thursday', 'Monday', 'Wednesday', 'Friday'];['Monday', 'Thursday', 'Friday', 'Sunday', 'Saturday'];['Monday', 'Sunday', 'Friday', 'Saturday', 'Wednesday', 'Thursday'];['Friday', 'Saturday', 'Monday', 'Sunday', 'Tuesday'];['Wednesday', 'Monday', 'Friday', 'Saturday', 'Sunday'];['Thursday', 'Wednesday', 'Friday', 'Saturday', 'Monday'];['Saturday', 'Monday', 'Tuesday', 'Thursday', 'Sunday', 'Friday'];['Saturday', 'Tuesday', 'Sunday', 'Thursday'];['Tuesday', 'Friday', 'Thursday', 'Wednesday'];['Friday', 'Thursday', 'Wednesday'];['Friday', 'Thursday', 'Tuesday'];['Wednesday', 'Tuesday', 'Saturday', 'Thursday'];['Tuesday', 'Monday', 'Wednesday', 'Thursday', 'Saturday', 'Sunday'];['Friday', 'Tuesday', 'Saturday', 'Wednesday', 'Sunday'];['Sunday', 'Saturday', 'Thursday'];['Wednesday', 'Friday', 'Monday', 'Saturday', 'Tuesday'];['Sunday', 'Tuesday', 'Saturday', 'Monday'];['Tuesday', 'Wednesday', 'Thursday', 'Sunday', 'Friday'];['Sunday', 'Saturday', 'Tuesday', 'Wednesday'];['Tuesday', 'Sunday', 'Wednesday'];['Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday', 'Saturday'];['Wednesday', 'Thursday', 'Friday', 'Sunday'];['Friday', 'Wednesday', 'Tuesday', 'Saturday', 'Monday'];['Friday', 'Thursday', 'Tuesday', 'Wednesday', 'Monday', 'Saturday'];['Sunday', 'Wednesday', 'Thursday', 'Tuesday'];['Saturday', 'Friday', 'Sunday', 'Thursday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee70@mail.com;mentee70;tee;25/12/2006;GMT -7;https://www.instagram.com/andreparedes06/;8723075090;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;B2;A1;A1;A2;A2;A1;B2;A1;B1;[Some text];['Tuesday', 'Friday', 'Monday'];['Thursday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday'];['Monday', 'Tuesday', 'Sunday', 'Saturday', 'Thursday'];['Sunday', 'Thursday', 'Wednesday', 'Saturday'];['Monday', 'Saturday', 'Wednesday'];['Wednesday', 'Thursday', 'Monday', 'Friday'];['Wednesday', 'Tuesday', 'Sunday', 'Saturday'];['Sunday', 'Wednesday', 'Monday', 'Friday', 'Saturday'];['Sunday', 'Friday', 'Thursday', 'Tuesday'];['Wednesday', 'Saturday', 'Thursday', 'Tuesday', 'Friday'];['Wednesday', 'Thursday', 'Friday', 'Monday'];['Friday', 'Tuesday', 'Sunday'];['Wednesday', 'Thursday', 'Tuesday', 'Friday', 'Sunday'];['Tuesday', 'Monday', 'Sunday', 'Thursday', 'Friday'];['Sunday', 'Thursday', 'Wednesday', 'Tuesday', 'Friday'];['Saturday', 'Sunday', 'Friday', 'Monday', 'Tuesday'];['Monday', 'Wednesday', 'Tuesday', 'Friday'];['Friday', 'Tuesday', 'Monday', 'Saturday'];['Sunday', 'Saturday', 'Wednesday', 'Tuesday', 'Friday'];['Friday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday'];['Thursday', 'Saturday', 'Sunday', 'Monday', 'Tuesday'];['Saturday', 'Monday', 'Wednesday', 'Thursday'];['Tuesday', 'Sunday', 'Friday', 'Saturday'];['Thursday', 'Sunday', 'Tuesday', 'Friday'];['Saturday', 'Friday', 'Sunday', 'Tuesday'];['Wednesday', 'Friday', 'Thursday'];['Thursday', 'Monday', 'Friday', 'Tuesday'];['Sunday', 'Thursday', 'Monday', 'Saturday', 'Wednesday'];['Friday', 'Monday', 'Sunday'];['Saturday', 'Tuesday', 'Monday', 'Friday'];['Thursday', 'Sunday', 'Saturday', 'Friday'];['Tuesday', 'Saturday', 'Sunday', 'Monday'];['Monday', 'Thursday', 'Sunday', 'Tuesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee71@mail.com;mentee71;tee;18/04/2009;GMT -1;https://www.instagram.com/andreparedes06/;1217431305;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;B2;B2;;;B2;B1;A2;A2;B2;[Some text];['Saturday', 'Tuesday', 'Monday', 'Thursday'];['Monday', 'Saturday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Saturday', 'Sunday', 'Wednesday'];['Thursday', 'Wednesday', 'Monday', 'Sunday', 'Friday'];['Sunday', 'Friday', 'Wednesday', 'Saturday'];['Sunday', 'Monday', 'Tuesday', 'Friday', 'Thursday'];['Thursday', 'Friday', 'Tuesday', 'Wednesday', 'Sunday'];['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Sunday'];['Thursday', 'Saturday', 'Wednesday', 'Friday', 'Monday'];['Wednesday', 'Tuesday', 'Monday', 'Thursday'];['Wednesday', 'Thursday', 'Saturday', 'Friday', 'Sunday'];['Sunday', 'Thursday', 'Saturday', 'Friday'];['Thursday', 'Saturday', 'Sunday', 'Friday', 'Monday', 'Tuesday'];['Sunday', 'Friday', 'Tuesday', 'Wednesday', 'Monday'];['Saturday', 'Monday', 'Sunday', 'Thursday', 'Friday'];['Sunday', 'Thursday', 'Wednesday', 'Friday'];['Thursday', 'Tuesday', 'Sunday', 'Wednesday', 'Friday', 'Monday'];['Tuesday', 'Friday', 'Thursday', 'Wednesday'];['Thursday', 'Wednesday', 'Friday', 'Monday', 'Sunday'];['Friday', 'Monday', 'Sunday', 'Saturday'];['Monday', 'Wednesday', 'Sunday', 'Thursday', 'Saturday', 'Tuesday', 'Friday'];['Wednesday', 'Saturday', 'Monday', 'Friday'];['Friday', 'Tuesday', 'Monday', 'Thursday', 'Sunday'];['Monday', 'Thursday', 'Sunday', 'Saturday', 'Friday'];['Sunday', 'Monday', 'Saturday', 'Wednesday'];['Wednesday', 'Sunday', 'Tuesday', 'Thursday'];['Saturday', 'Monday', 'Sunday', 'Wednesday', 'Friday', 'Thursday'];['Monday', 'Thursday', 'Friday', 'Tuesday'];['Tuesday', 'Wednesday', 'Monday'];['Wednesday', 'Thursday'];['Monday', 'Thursday', 'Saturday', 'Friday'];['Saturday', 'Thursday', 'Monday', 'Sunday'];['Sunday', 'Monday', 'Tuesday', 'Wednesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee72@mail.com;mentee72;tee;09/06/2006;GMT +6:30;https://www.instagram.com/andreparedes06/;5576103026;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;A1;B2;B1;;A1;A2;B2;B1;B1;[Some text];['Saturday', 'Thursday', 'Sunday', 'Friday'];['Saturday', 'Wednesday', 'Sunday', 'Friday'];['Tuesday', 'Monday', 'Saturday'];['Thursday', 'Sunday', 'Wednesday', 'Monday'];['Saturday', 'Thursday', 'Wednesday', 'Friday', 'Monday'];['Monday', 'Wednesday', 'Sunday', 'Thursday'];['Thursday', 'Friday', 'Saturday', 'Monday'];['Friday', 'Tuesday', 'Sunday', 'Saturday', 'Wednesday', 'Monday'];['Saturday', 'Monday', 'Wednesday'];['Thursday', 'Monday', 'Tuesday', 'Wednesday'];['Saturday', 'Wednesday', 'Monday', 'Friday'];['Friday', 'Thursday', 'Monday', 'Sunday', 'Tuesday'];['Saturday', 'Thursday', 'Sunday', 'Friday'];['Friday', 'Wednesday', 'Sunday', 'Saturday'];['Friday', 'Monday', 'Tuesday', 'Saturday', 'Wednesday', 'Thursday'];['Saturday', 'Wednesday', 'Friday', 'Tuesday', 'Sunday'];['Thursday', 'Tuesday', 'Friday', 'Monday', 'Wednesday'];['Monday', 'Saturday', 'Sunday'];['Sunday', 'Tuesday', 'Friday', 'Monday', 'Saturday'];['Saturday', 'Thursday', 'Tuesday', 'Wednesday'];['Tuesday', 'Friday', 'Sunday', 'Monday', 'Thursday'];['Wednesday', 'Tuesday', 'Sunday', 'Monday', 'Thursday'];['Friday', 'Tuesday', 'Sunday', 'Thursday', 'Saturday'];['Wednesday', 'Sunday', 'Saturday', 'Friday'];['Tuesday', 'Friday', 'Saturday', 'Thursday'];['Wednesday', 'Friday', 'Monday', 'Thursday', 'Saturday', 'Sunday'];['Tuesday', 'Sunday', 'Thursday', 'Wednesday', 'Friday'];['Wednesday', 'Sunday', 'Tuesday', 'Thursday'];['Thursday', 'Friday', 'Wednesday', 'Tuesday', 'Monday'];['Sunday', 'Thursday', 'Tuesday', 'Saturday'];['Monday', 'Wednesday', 'Saturday', 'Tuesday', 'Friday'];['Saturday', 'Monday', 'Wednesday', 'Thursday'];['Monday', 'Friday', 'Wednesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee73@mail.com;mentee73;tee;14/04/2003;GMT +5:45;https://www.instagram.com/andreparedes06/;7890144473;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;B1;B2;A2;A1;;;B1;A2;A1;[Some text];['Tuesday', 'Sunday', 'Thursday'];['Saturday', 'Sunday', 'Monday', 'Wednesday'];['Sunday', 'Wednesday', 'Friday', 'Saturday', 'Monday'];['Saturday', 'Tuesday', 'Thursday', 'Sunday', 'Wednesday'];['Tuesday', 'Saturday', 'Wednesday', 'Friday', 'Sunday'];['Friday', 'Tuesday', 'Saturday', 'Monday', 'Wednesday', 'Sunday'];['Sunday', 'Saturday', 'Thursday', 'Monday', 'Tuesday'];['Thursday', 'Friday', 'Sunday', 'Wednesday'];['Wednesday', 'Tuesday', 'Friday', 'Monday', 'Sunday'];['Sunday', 'Friday', 'Saturday', 'Thursday'];['Saturday', 'Friday', 'Monday', 'Sunday', 'Wednesday'];['Tuesday', 'Monday', 'Friday'];['Tuesday', 'Thursday', 'Saturday', 'Friday', 'Sunday', 'Monday'];['Sunday', 'Friday', 'Tuesday', 'Saturday'];['Monday', 'Tuesday', 'Sunday', 'Wednesday', 'Thursday'];['Wednesday', 'Sunday', 'Monday', 'Tuesday'];['Friday', 'Monday', 'Wednesday', 'Sunday'];['Thursday', 'Tuesday', 'Sunday', 'Friday'];['Saturday', 'Monday', 'Tuesday', 'Wednesday', 'Sunday'];['Sunday', 'Wednesday', 'Thursday', 'Monday'];['Friday', 'Sunday', 'Thursday', 'Tuesday'];['Friday', 'Tuesday', 'Wednesday', 'Monday'];['Friday', 'Monday', 'Sunday', 'Saturday', 'Tuesday'];['Thursday', 'Sunday', 'Wednesday', 'Monday', 'Tuesday'];['Wednesday', 'Saturday', 'Tuesday', 'Sunday'];['Wednesday', 'Tuesday', 'Monday', 'Friday'];['Saturday', 'Tuesday', 'Monday', 'Sunday', 'Friday', 'Thursday'];['Saturday', 'Monday', 'Friday', 'Thursday', 'Wednesday'];['Saturday', 'Thursday', 'Monday', 'Friday', 'Tuesday', 'Sunday'];['Saturday', 'Monday', 'Friday', 'Tuesday', 'Sunday', 'Thursday'];['Saturday', 'Thursday', 'Tuesday', 'Wednesday'];['Friday', 'Wednesday', 'Thursday', 'Tuesday'];['Saturday', 'Thursday', 'Monday', 'Sunday'];Yes, I do;[Some text];Yes
01/01/2022;mentee74@mail.com;mentee74;tee;10/06/2000;GMT +5;https://www.instagram.com/andreparedes06/;1809738378;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B2;;A1;A1;B1;A2;A1;A1;;A1;[Some text];['Sunday', 'Friday', 'Monday', 'Wednesday', 'Thursday', 'Saturday'];['Sunday', 'Tuesday', 'Friday', 'Thursday', 'Wednesday', 'Saturday'];['Wednesday', 'Tuesday', 'Thursday', 'Sunday', 'Saturday', 'Monday'];['Monday', 'Wednesday', 'Saturday', 'Sunday', 'Thursday', 'Friday'];['Tuesday', 'Monday', 'Wednesday', 'Friday'];['Tuesday', 'Saturday', 'Friday', 'Thursday', 'Sunday'];['Wednesday', 'Sunday', 'Thursday', 'Tuesday'];['Friday', 'Saturday', 'Thursday', 'Tuesday', 'Sunday', 'Monday'];['Saturday', 'Thursday', 'Sunday', 'Monday', 'Friday'];['Wednesday', 'Tuesday', 'Monday', 'Friday', 'Thursday'];['Tuesday', 'Saturday', 'Wednesday', 'Thursday', 'Sunday', 'Monday'];['Thursday', 'Friday', 'Sunday', 'Wednesday', 'Monday'];['Sunday', 'Tuesday', 'Saturday', 'Wednesday', 'Thursday'];['Saturday', 'Sunday', 'Friday', 'Monday', 'Thursday', 'Tuesday'];['Thursday', 'Monday', 'Sunday', 'Wednesday'];['Sunday', 'Monday', 'Thursday', 'Friday', 'Saturday', 'Wednesday'];['Wednesday', 'Tuesday', 'Thursday', 'Sunday', 'Monday', 'Saturday'];['Thursday', 'Monday', 'Saturday', 'Wednesday'];['Thursday', 'Wednesday', 'Tuesday', 'Friday', 'Monday'];['Saturday', 'Friday', 'Wednesday', 'Thursday'];['Friday', 'Sunday', 'Monday', 'Saturday'];['Friday', 'Wednesday', 'Tuesday', 'Saturday', 'Monday', 'Sunday'];['Monday', 'Wednesday', 'Saturday', 'Friday'];['Saturday', 'Sunday', 'Monday', 'Thursday', 'Friday', 'Tuesday'];['Tuesday', 'Friday', 'Saturday', 'Monday', 'Thursday'];['Sunday', 'Wednesday', 'Monday', 'Tuesday', 'Friday'];['Wednesday', 'Thursday', 'Monday', 'Tuesday'];['Saturday', 'Sunday', 'Monday', 'Tuesday', 'Friday'];['Friday', 'Monday', 'Saturday', 'Thursday', 'Wednesday'];['Tuesday', 'Saturday', 'Monday', 'Friday'];['Monday', 'Saturday', 'Friday', 'Tuesday', 'Thursday'];['Tuesday', 'Thursday', 'Sunday', 'Friday'];['Monday', 'Friday', 'Tuesday', 'Saturday', 'Thursday', 'Sunday'];Yes, I do;[Some text];Yes
01/01/2022;mentee75@mail.com;mentee75;tee;28/01/1996;GMT -6;https://www.instagram.com/andreparedes06/;9928163879;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A1;A2;A2;A2;A2;B2;A2;A2;B1;B2;[Some text];['Monday', 'Tuesday', 'Sunday', 'Friday'];['Sunday', 'Tuesday', 'Monday', 'Saturday', 'Friday', 'Wednesday'];['Sunday', 'Monday', 'Wednesday', 'Friday', 'Saturday'];['Thursday', 'Tuesday', 'Monday', 'Friday', 'Saturday'];['Wednesday', 'Tuesday', 'Friday', 'Monday'];['Saturday', 'Monday', 'Wednesday'];['Tuesday', 'Monday', 'Thursday', 'Saturday'];['Tuesday', 'Wednesday', 'Friday'];['Saturday', 'Monday', 'Tuesday', 'Sunday'];['Sunday', 'Wednesday', 'Thursday', 'Friday', 'Tuesday'];['Sunday', 'Friday', 'Wednesday', 'Saturday', 'Monday', 'Tuesday'];['Thursday', 'Sunday', 'Saturday', 'Wednesday', 'Tuesday', 'Friday'];['Wednesday', 'Tuesday', 'Monday', 'Sunday', 'Friday'];['Saturday', 'Monday', 'Sunday'];['Saturday', 'Friday', 'Sunday', 'Monday', 'Wednesday'];['Monday', 'Wednesday', 'Thursday', 'Sunday'];['Saturday', 'Thursday', 'Wednesday', 'Friday', 'Monday'];['Tuesday', 'Thursday', 'Saturday', 'Wednesday'];['Saturday', 'Friday', 'Tuesday', 'Thursday', 'Wednesday'];['Wednesday', 'Thursday', 'Sunday', 'Saturday', 'Tuesday'];['Friday', 'Tuesday', 'Wednesday', 'Thursday'];['Friday', 'Sunday', 'Saturday', 'Tuesday'];['Thursday', 'Wednesday', 'Saturday', 'Monday', 'Friday'];['Wednesday', 'Friday', 'Thursday', 'Saturday', 'Tuesday'];['Tuesday', 'Sunday', 'Friday', 'Monday', 'Wednesday'];['Monday', 'Wednesday', 'Thursday', 'Saturday', 'Sunday'];['Tuesday', 'Thursday', 'Monday', 'Saturday', 'Friday'];['Wednesday', 'Thursday', 'Saturday', 'Friday'];['Friday', 'Sunday', 'Tuesday', 'Saturday', 'Monday', 'Thursday'];['Sunday', 'Friday', 'Saturday', 'Monday', 'Tuesday'];['Sunday', 'Friday', 'Saturday', 'Wednesday', 'Thursday', 'Tuesday'];['Tuesday', 'Thursday', 'Monday', 'Friday', 'Saturday', 'Sunday'];['Saturday', 'Thursday', 'Tuesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee76@mail.com;mentee76;tee;15/06/1996;GMT +12;https://www.instagram.com/andreparedes06/;4575074120;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;A1;B1;A1;B1;A1;;A2;B2;A2;[Some text];['Tuesday', 'Monday', 'Friday', 'Sunday', 'Wednesday', 'Thursday'];['Wednesday', 'Sunday', 'Tuesday', 'Friday', 'Saturday'];['Saturday', 'Wednesday', 'Thursday', 'Sunday'];['Wednesday', 'Monday', 'Sunday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Wednesday', 'Thursday'];['Thursday', 'Friday'];['Sunday', 'Wednesday', 'Tuesday'];['Saturday', 'Friday', 'Monday', 'Sunday', 'Wednesday'];['Tuesday', 'Friday', 'Saturday', 'Thursday', 'Monday'];['Saturday', 'Sunday', 'Tuesday', 'Thursday'];['Friday', 'Saturday', 'Wednesday', 'Tuesday'];['Tuesday', 'Monday', 'Saturday', 'Sunday', 'Thursday'];['Sunday', 'Friday', 'Thursday'];['Friday', 'Saturday', 'Wednesday', 'Thursday', 'Sunday'];['Thursday', 'Friday', 'Wednesday', 'Tuesday', 'Monday'];['Tuesday', 'Friday', 'Wednesday', 'Saturday', 'Thursday'];['Friday', 'Wednesday', 'Sunday', 'Tuesday'];['Tuesday', 'Thursday', 'Saturday'];['Wednesday', 'Thursday', 'Monday', 'Sunday'];['Thursday', 'Sunday', 'Wednesday', 'Tuesday'];['Thursday', 'Saturday', 'Monday', 'Wednesday'];['Friday', 'Monday', 'Sunday', 'Thursday', 'Tuesday'];['Wednesday', 'Tuesday', 'Sunday', 'Monday', 'Thursday', 'Friday'];['Saturday', 'Friday', 'Monday', 'Sunday', 'Tuesday'];['Friday', 'Monday', 'Saturday', 'Thursday'];['Friday', 'Tuesday', 'Saturday', 'Wednesday', 'Monday'];['Sunday', 'Thursday', 'Saturday', 'Tuesday', 'Friday'];['Sunday', 'Monday', 'Friday', 'Wednesday', 'Thursday', 'Tuesday'];['Tuesday', 'Sunday', 'Monday', 'Friday', 'Thursday'];['Monday', 'Saturday', 'Wednesday', 'Friday'];['Monday', 'Tuesday', 'Wednesday', 'Sunday'];['Tuesday', 'Friday', 'Monday', 'Sunday', 'Saturday'];['Saturday', 'Wednesday', 'Sunday', 'Thursday'];Yes, I do;[Some text];Yes
