Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country);Location (State, Country).1;Is your proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;International Polyglot Youth believes in the transformative power of knowledge of foreign cultures and languages. Tell us, in up to 150 words, about a situation in which you realized the importance of foreign languages in your trajectory.;In the IPY project, we value cultural differences and teamwork, as we believe they connect us and help us create a more egalitarian and respectful world. In this way, describe in up to 100 words a time when you did not lead a team work well and what you learned from it.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project? Describe in up to 150 words.;What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Brazilian Portuguese];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Deutsch];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [English];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [French];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [German];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Hungarian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Italian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Korean];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Modern Standard Arabic];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Spanish];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Russian];Is there any other language that you would like to teach? If so, write it please;Do you have any experience in teaching?;If you do, tell us more about it.;How did you learn the language you intend to teach?;If you have a certificate in the language(s) you plan to teach, please attach it below. Certificates such as IELTS, TOEFL, TOPIK, DELE etc.;List ALL the days and times you would have available to teach. [06:00];List ALL the days and times you would have available to teach. [06:30];List ALL the days and times you would have available to teach. [07:00];List ALL the days and times you would have available to teach. [07:30];List ALL the days and times you would have available to teach. [08:00];List ALL the days and times you would have available to teach. [08:30];List ALL the days and times you would have available to teach. [09:00];List ALL the days and times you would have available to teach. [09:30];List ALL the days and times you would have available to teach. [10:00];List ALL the days and times you would have available to teach. [10:30];List ALL the days and times you would have available to teach. [11:00];List ALL the days and times you would have available to teach. [11:30];List ALL the days and times you would have available to teach. [12:00];List ALL the days and times you would have available to teach. [12:30];List ALL the days and times you would have available to teach. [13:00];List ALL the days and times you would have available to teach. [13:30];List ALL the days and times you would have available to teach. [14:00];List ALL the days and times you would have available to teach. [14:30];List ALL the days and times you would have available to teach. [15:00];List ALL the days and times you would have available to teach. [15:30];List ALL the days and times you would have available to teach. [16:00];List ALL the days and times you would have available to teach. [16:30];List ALL the days and times you would have available to teach. [17:00];List ALL the days and times you would have available to teach. [17:30];List ALL the days and times you would have available to teach. [18:00];List ALL the days and times you would have available to teach. [18:30];List ALL the days and times you would have available to teach. [19:00];List ALL the days and times you would have available to teach. [19:30];List ALL the days and times you would have available to teach. [20:00];List ALL the days and times you would have available to teach. [20:30];List ALL the days and times you would have available to teach. [21:00];List ALL the days and times you would have available to teach. [21:30];List ALL the days and times you would have available to teach. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to teaching weekly classes?
01/01/2022;mentee25@mail.com;mentor25;tor;26/02/2007;GMT +6;https://www.instagram.com/andreparedes06/;5563113613;Non-binary;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;;Language certificate;;Native Speaker;;Language certificate;Language certificate;;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;Monday;;;;;;;;;;;;;;;;;;Monday;;;;;;Saturday;Thursday;;;Tuesday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee26@mail.com;mentor26;tor;11/09/2006;GMT +4;https://www.instagram.com/andreparedes06/;1837480519;Male;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Native Speaker;Native Speaker;;Language certificate;Language certificate;Native Speaker;;;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;Sunday;;Monday;;Wednesday;;;;;;Monday;;Thursday;;;;;;;;;;Thursday;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee27@mail.com;mentor27;tor;27/08/1999;GMT +0;https://www.instagram.com/andreparedes06/;1661428925;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;Language certificate;;Language certificate;;Language certificate;;;;[Some text];Yes;[Some text];[Some text];[Some link];;Saturday;;Thursday;;Monday, Sunday;;;;;;;;;;;;;;;;;;Sunday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee28@mail.com;mentor28;tor;04/09/1995;GMT -10;https://www.instagram.com/andreparedes06/;8777198023;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;Self learning;;;Native Speaker;Language certificate;Language certificate;Self learning;Language certificate;;;[Some text];Yes;[Some text];[Some text];[Some link];Thursday;;Saturday;;;;Tuesday;;;;;;;;;;;;Tuesday;;;;;;;;;;;Saturday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee29@mail.com;mentor29;tor;20/05/2001;GMT +2;https://www.instagram.com/andreparedes06/;9327403945;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;;Language certificate;Language certificate;Native Speaker;Self learning;Language certificate;Language certificate;Self learning;Language certificate;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;Sunday;;;Friday;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee30@mail.com;mentor30;tor;23/11/2011;GMT +12;https://www.instagram.com/andreparedes06/;1721892180;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;Language certificate;;Language certificate;Language certificate;;Language certificate;Language certificate;;;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;Wednesday;;;;;;;;;;;;;;;Monday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee31@mail.com;mentor31;tor;26/02/2011;GMT +1;https://www.instagram.com/andreparedes06/;9127798125;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Native Speaker;;Self learning;;Self learning;Language certificate;Native Speaker;;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;Sunday;;;;;;;;;;;Wednesday;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee32@mail.com;mentor32;tor;09/02/2002;GMT -2;https://www.instagram.com/andreparedes06/;4402543600;Prefer not to say;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;;;Language certificate;;Language certificate;Self learning;Language certificate;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;Friday;Saturday;;;;;;;;;Thursday;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee33@mail.com;mentor33;tor;24/06/2004;GMT +12;https://www.instagram.com/andreparedes06/;2395053897;Non-binary;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;;;;Language certificate;;Native Speaker;;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;Sunday;;;;;;Monday;;Monday;;;;;;;;;;;;;;;;;;;;;;Saturday;;Yes, I do;[Some text];Yes
01/01/2022;mentee34@mail.com;mentor34;tor;04/02/2009;GMT -2;https://www.instagram.com/andreparedes06/;2572628799;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Native Speaker;;Language certificate;Native Speaker;;Language certificate;Language certificate;Self learning;;;[Some text];No;[Some text];[Some text];[Some link];;;;;Thursday;;Monday;;;;;Tuesday;;;;;;;Saturday, Sunday;;;;;;;;;;Friday;;;Monday;;Yes, I do;[Some text];Yes
01/01/2022;mentee35@mail.com;mentor35;tor;08/06/2001;GMT -8;https://www.instagram.com/andreparedes06/;1948052725;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;;;Language certificate;Native Speaker;;Language certificate;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];Friday;;;Monday;;Wednesday;;;;;;;;;;;;;;;;;Tuesday;;;;;;;;;Sunday;;Yes, I do;[Some text];Yes
01/01/2022;mentee36@mail.com;mentor36;tor;12/06/2011;GMT -1;https://www.instagram.com/andreparedes06/;8809862328;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Self learning;;Language certificate;;Language certificate;;Self learning;Language certificate;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;Thursday;;Friday;;;;;;;;;;;;;;;;;;;;;Tuesday;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee37@mail.com;mentor37;tor;25/01/1997;GMT +13;https://www.instagram.com/andreparedes06/;3872335434;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Self learning;Language certificate;;;Self learning;;Native Speaker;;;[Some text];No;[Some text];[Some text];[Some link];;Saturday;;;;;;;Saturday;;;;;Sunday;;;;;;;;;Friday;;;;;Wednesday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee38@mail.com;mentor38;tor;06/09/1995;GMT -6;https://www.instagram.com/andreparedes06/;9167407403;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;Native Speaker;;Language certificate;;Language certificate;;Self learning;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;Wednesday;;;Tuesday;;;;;;;;;Tuesday;;Wednesday;;;;;;;;;;Saturday;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee39@mail.com;mentor39;tor;20/10/2010;GMT -6;https://www.instagram.com/andreparedes06/;5058265732;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;Self learning;Language certificate;Language certificate;;;;Self learning;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;Sunday;;;;;;;;Friday;Monday, Sunday;Tuesday;;;;;Thursday;;;;Tuesday;Tuesday;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee40@mail.com;mentor40;tor;16/05/2010;GMT -2;https://www.instagram.com/andreparedes06/;2965970178;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;Language certificate;Native Speaker;Self learning;;;Language certificate;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;Friday;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
